,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,State,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944
10009,675.08414,0,0,0,0,0,0,0,0,,None,676.09141646688,0.0,7,,0,0,3004055,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,675.09931,33,24,16,0,0,0,0,0,CHO,ConHC,676.10658646688,-0.224436328429148,9,H-,0,0,0,0,0,0,3229517,0,0,0,0,0,0,0,0,0
10011,675.11499,0,0,0,0,0,0,0,0,,None,676.12226646688,0.0,11,,0,0,0,0,0,0,2864979,0,0,0,0,0,0,0,0,0
10012,675.1358,0,0,0,0,0,0,0,0,,None,676.14307646688,0.0,5,,0,0,0,0,0,0,3562331,0,0,0,0,0,0,0,0,0
10013,675.1439999999999,0,0,0,0,0,0,0,0,,None,676.15127646688,0.0,7,,0,0,0,0,0,0,0,0,2630228,0,0,0,0,0,0,0
10014,675.1720320000001,35,32,14,0,0,0,0,0,CHO,Lignin,676.17930846688,-0.15192757114102698,8,H-,0,0,0,0,0,0,4183912,0,4983388,2609151,5117685,0,3602914,0,0,0
10015,675.18336,0,0,0,0,0,0,0,0,,None,676.1906364668799,0.0,7,,0,0,0,0,0,0,0,3460704,0,0,0,0,0,0,0,0
10016,675.187373333333,0,0,0,0,0,0,0,0,,None,676.194649800213,0.0,7,,0,0,0,0,0,0,0,4490849,2974305,3457028,0,0,0,0,0,0
10017,675.193345,0,0,0,0,0,0,0,0,,None,676.20062146688,0.0,8,,0,0,0,0,0,0,0,0,3063395,0,2667260,0,0,0,0,0
10018,675.20416,0,0,0,0,0,0,0,0,,None,676.21143646688,0.0,8,,0,0,0,0,0,0,0,3479141,0,3078153,0,0,0,0,0,0
10019,675.208325,36,36,13,0,0,0,0,0,CHO,Lignin,676.21560146688,-0.0151194084379858,6,H-,0,0,0,0,0,0,3100533,4931175,5927527,5341195,10239745,0,8321518,0,0,0
10020,675.21988,0,0,0,0,0,0,0,0,,None,676.2271564668799,0.0,5,,0,0,0,0,0,0,0,3217002,0,0,0,0,0,0,0,0
10021,675.223806666667,0,0,0,0,0,0,0,0,,None,676.231083133547,0.0,5,,0,0,0,0,0,0,0,3507819,3562092,3590160,0,0,0,0,0,0
10022,675.2293400000001,33,40,15,0,0,0,0,0,CHO,Lignin,676.2366164668799,0.154012097989327,6,H-,0,0,0,0,0,0,0,0,3455598,0,7188233,0,9546228,0,0,0
10023,675.244596,37,40,12,0,0,0,0,0,CHO,Lignin,676.25187246688,0.154206330825279,6,H-,0,0,0,0,0,0,0,4892272,4655730,3561495,6668046,0,6963705,0,0,0
10024,675.25981,41,40,9,0,0,0,0,0,CHO,Lignin,676.26708646688,0.21650620434700102,6,H-,0,0,0,0,0,0,0,2993781,0,0,0,0,0,0,0,0
10025,675.26597,34,44,14,0,0,0,0,0,CHO,Lignin,676.27324646688,-0.20752718039019297,8,H-,0,0,0,0,0,0,0,0,0,0,0,0,5308927,0,0,0
10026,676.1435299999999,34,28,15,0,0,0,0,0,CHO,Lignin,676.142981420091,-0.23839601236695898,7,.-,0,0,0,0,0,0,0,0,0,0,2692164,0,0,0,0,0
10027,676.17952,0,0,0,0,0,0,0,0,,None,677.18679646688,0.0,6,,0,0,0,0,0,0,0,0,0,0,4474961,0,0,0,0,0
10028,676.20072,32,36,16,0,0,0,0,0,CHO,Lignin,676.200171420091,0.242071972646343,8,.-,0,0,0,0,0,0,0,0,0,0,0,0,2881314,0,0,0
10029,676.216455,0,0,0,0,0,0,0,0,,None,677.2237314668799,0.0,9,,0,0,0,0,0,0,0,0,0,0,4104286,0,4782887,0,0,0
10030,676.23249,0,0,0,0,0,0,0,0,,None,677.2397664668799,0.0,5,,0,0,0,0,0,0,0,0,0,0,2828387,0,2711340,0,0,0
10031,676.2474950000001,0,0,0,0,0,0,0,0,,None,677.25477146688,0.0,7,,0,0,0,0,0,0,0,0,0,0,2930792,0,2855728,0,0,0
10032,677.1148099999999,33,26,16,0,0,0,0,0,CHO,ConHC,678.12208646688,-0.0024754833740144896,6,H-,0,0,0,0,0,0,2847280,0,0,0,0,0,0,0,0,0
10033,677.13031,0,0,0,0,0,0,0,0,,None,678.13758646688,0.0,8,,0,0,0,0,0,0,3240502,0,0,0,0,0,0,0,0,0
10034,677.151125,34,30,15,0,0,0,0,0,CHO,Lignin,678.1584014668799,0.101491952267872,6,H-,0,0,0,0,0,0,3590718,0,0,0,4073889,0,0,0,0,0
10035,677.1630700000001,0,0,0,0,0,0,0,0,,None,678.17034646688,0.0,7,,0,0,0,0,0,0,0,2601087,0,0,0,0,0,0,0,0
10036,677.16673,0,0,0,0,0,0,0,0,,None,678.17400646688,0.0,6,,0,0,0,0,0,0,3140163,2644096,2963640,4074139,0,0,0,0,0,0
10037,677.18263,0,0,0,0,0,0,0,0,,None,678.18990646688,0.0,8,,0,0,0,0,0,0,0,0,0,2960032,0,0,0,0,0,0
10038,677.18384,0,0,0,0,0,0,0,0,,None,678.19111646688,0.0,9,,0,0,0,0,0,0,0,0,3433662,0,0,0,0,0,0,0
10039,677.1876,35,34,14,0,0,0,0,0,CHO,Lignin,678.1948764668799,-0.0304721851990106,6,H-,0,0,0,0,0,0,3373643,0,4543679,4678306,6642094,0,4746324,0,0,0
10040,677.19907,0,0,0,0,0,0,0,0,,None,678.20634646688,0.0,7,,0,0,0,0,0,0,0,3299465,3953858,0,0,0,0,0,0,0
10041,677.2030025,39,34,11,0,0,0,0,0,CHO,Lignin,678.21027896688,-0.24628405826866298,7,H-,0,0,0,0,0,0,3519057,4634762,4123843,4080295,0,0,0,0,0,0
10042,677.209023333333,0,0,0,0,0,0,0,0,,None,678.216299800213,0.0,9,,0,0,0,0,0,0,0,0,2677957,2632873,0,0,4731994,0,0,0
