Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941
190.96317,0,0,0,0,0,0,0,0,,None,190.962621420091,0,0,0,3140789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.998595,0,0,0,0,0,0,0,0,,None,190.998046420091,0,0,0,0,0,0,0,0,0,2766073,0,0,0,0,0,0,0,2768113
191.01845,0,0,0,0,0,0,0,0,,None,191.017901420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875129
191.01874,0,0,0,0,0,0,0,0,,None,191.018191420091,0,0,0,0,0,0,0,0,0,0,0,0,0,3007070,0,0,0,0
191.01939,0,0,0,0,0,0,0,0,,None,191.018841420091,0,0,0,0,0,0,0,0,0,0,0,0,0,2990686,0,0,0,0
191.019725585714,0,0,0,0,0,0,0,0,,None,191.019177005805,0,0,3085539,28089034,0,0,0,0,0,21814018,0,18227650,0,41857628,0,17512706,0,49650424
191.033965,0,0,0,0,0,0,0,0,,None,191.033416420091,0,0,0,0,0,0,0,0,0,2981639,0,4090312,0,0,0,0,0,0
191.03465,0,0,0,0,0,0,0,0,,None,191.034101420091,0,0,0,0,0,0,0,0,0,0,0,3676616,0,0,0,0,0,0
191.0349851,0,0,0,0,0,0,0,0,,None,191.034436520091,0,0,9174761,18977488,13885367,5404237,7025468,5755753,5876584,33340166,25085816,55753160,24389416,4594276,2623727,3104518,6398449,15397631
191.05485,0,0,0,0,0,0,0,0,,None,191.054301420091,0,0,0,0,4775870,0,0,0,0,0,0,0,0,0,0,0,0,0
191.05511,0,0,0,0,0,0,0,0,,None,191.054561420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342839,0
191.05578,0,0,0,0,0,0,0,0,,None,191.055231420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3649015,0
191.056109338462,0,0,0,0,0,0,0,0,,None,191.055560758552,0,1,18730736,42375896,87095232,0,0,0,2953712,6197007,5309312,12657105,3015472,4568171,6545651,7490828,53175800,22694662
191.05645,0,0,0,0,0,0,0,0,,None,191.055901420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4242935,0
191.07032,0,0,0,0,0,0,0,0,,None,191.069771420091,0,0,0,0,0,0,0,0,0,0,0,2946518,0,0,0,0,0,0
191.071356363636,0,0,0,0,0,0,0,0,,None,191.070807783727,0,0,5375734,17234654,4787140,0,8218442,4408183,5783670,17601300,14782341,37841368,8731446,0,0,0,0,5624589
192.00642,9,4,5,0,0,0,0,0,CHO,ConHC,192.005871420091,0.00947267628979986,1,0,0,0,0,0,0,0,4036723,0,3908936,0,0,0,0,0,0
192.023075,0,0,0,0,0,0,0,0,,None,192.022526420091,0,0,0,0,0,0,0,0,0,0,0,0,0,3479484,0,0,0,3277429
192.038335,0,0,0,0,0,0,0,0,,None,192.037786420091,0,0,0,0,0,0,0,0,0,3633791,3126500,5388117,2888350,0,0,0,0,0
192.0428,10,8,4,0,0,0,0,0,CHO,Lignin,192.042251420091,0.0381432178709868,1,0,3169868,3330329,0,0,0,2441963,15713409,8949990,19217238,9052320,0,0,0,0,3117181
192.059453333333,0,0,0,0,0,0,0,0,,None,192.058904753424,0,0,0,3092050,6851871,0,0,0,0,0,0,0,0,0,0,0,4130085,0
192.074705,0,0,0,0,0,0,0,0,,None,192.074156420091,0,0,0,0,0,0,0,0,0,2731405,0,4991332,0,0,0,0,0,0
192.079203333333,11,12,3,0,0,0,0,0,CHO,Lignin,192.078654753424,-0.0546751220708329,1,0,0,0,0,0,0,0,5986447,2509555,4602726,0,0,0,0,0,0
193.00834,0,0,0,0,0,0,0,0,,None,193.007791420091,0,0,0,0,0,0,2777522,0,0,0,0,0,0,0,0,0,0,0
193.014242408333,0,0,0,0,0,0,0,0,,None,193.013693828424,0,0,0,9944512,4034163,6782769,0,3160151,0,15212019,4055117,10613981,3613712,11341082,0,3748660,4806729,19512818
193.03435,0,0,0,0,0,0,0,0,,None,193.033801420091,0,0,0,0,0,0,0,0,0,0,0,0,0,4612386,0,0,0,0
193.03537655,0,0,0,0,0,0,0,0,,None,193.034827970091,0,0,3502022,33009096,3197051,0,0,0,0,29818364,0,18574566,0,61166880,5863078,39484220,6911056,45768188
193.03570645,0,0,0,0,0,0,0,0,,None,193.035157870091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3097403,0,4113915
193.04618,9,8,4,0,1,0,0,0,CHO,Lignin,193.045631420091,-0.0923983122197295,1,0,0,0,0,0,0,0,0,0,2565866,0,0,0,0,0,0
193.04932,0,0,0,0,0,0,0,0,,None,193.048771420091,0,1,0,3857870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193.049593333333,0,0,0,0,0,0,0,0,,None,193.049044753424,0,0,0,0,0,0,0,0,0,8195585,0,8286444,2903069,0,0,0,0,0
193.05029,0,0,0,0,0,0,0,0,,None,193.049741420091,0,0,0,0,0,0,0,0,0,0,3838554,0,0,0,0,0,0,0
193.05062146875,0,0,0,0,0,0,0,0,,None,193.050072888841,0,0,34007500,49847756,39287424,4756799,9822786,5906533,7635317,102022656,39311964,98041064,37374492,7390503,4993705,4905791,10057812,18005504
193.050975,0,0,0,0,0,0,0,0,,None,193.050426420091,0,1,0,0,0,0,0,0,0,9289217,0,0,3179038,0,0,0,0,0
193.087016666667,0,0,0,0,0,0,0,0,,None,193.086468086757,0,0,2708186,0,0,0,3508816,0,2789252,0,4447848,5202171,3802155,0,0,0,0,0
193.98568,8,2,6,0,0,0,0,0,CHO,ConHC,193.985131420091,0.0328721558811812,1,0,0,0,0,0,0,0,4093803,0,0,0,0,0,0,0,0
194.01758,0,0,0,0,0,0,0,0,,None,194.017031420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495866
194.022075,9,6,5,0,0,0,0,0,CHO,ConHC,194.021526420091,-0.0160651789455619,1,0,0,0,0,0,0,0,4802425,0,4334200,0,0,0,0,0,0
194.038735,0,0,0,0,0,0,0,0,,None,194.038186420091,0,0,0,3064654,0,0,0,0,0,2443904,0,0,0,3641994,0,0,0,2783618
194.0459,0,0,0,0,0,0,0,0,,None,194.045351420091,0,0,0,0,0,0,0,0,0,0,0,2597506,0,0,0,0,0,0
194.053981428571,0,0,0,0,0,0,0,0,,None,194.053432848662,0,0,3586885,5450580,4997099,0,0,0,0,12799877,3898322,12310149,4463519,0,0,0,0,0
194.05739,0,0,0,0,0,0,0,0,,None,194.056841420091,0,1,0,0,0,0,0,0,0,2740103,0,0,0,0,0,0,0,0
194.0581,0,0,0,0,0,0,0,0,,None,194.057551420091,0,0,0,0,0,0,0,0,0,0,0,2992775,0,0,0,0,0,0
194.058423333333,10,10,4,0,0,0,0,0,CHO,Lignin,194.057874753424,0.175493914756582,1,0,0,0,0,0,2850284,2596102,33001352,11424724,33152648,11336608,0,0,0,0,0
194.9935121,0,0,0,0,0,0,0,0,,None,194.992963520091,0,0,0,3492551,0,4670510,0,0,0,19323126,0,10407946,0,15091686,0,3233652,0,8706300
194.996875,0,0,0,0,0,0,0,0,,None,194.996326420091,0,0,0,7592136,0,0,0,0,0,0,0,0,0,0,0,0,0,15888637
195.029883066667,0,0,0,0,0,0,0,0,,None,195.029334486757,0,0,7637176,23572694,11332946,3722812,2488659,2886762,0,17582340,10476869,21032986,8415515,5285876,3497577,3750270,6287040,34066700
195.0451375,0,0,0,0,0,0,0,0,,None,195.044588920091,0,0,0,0,0,3457090,5439321,2587376,3049620,0,0,0,0,0,0,0,0,0
195.049695,0,0,0,0,0,0,0,0,,None,195.049146420091,0,0,0,9378013,0,0,0,0,0,0,0,0,0,0,0,0,0,8591635
195.04998,0,0,0,0,0,0,0,0,,None,195.049431420091,0,0,0,0,0,0,0,0,0,0,0,0,0,5712891,0,0,0,0
195.051015308333,0,0,0,0,0,0,0,0,,None,195.050466728424,0,0,21683392,165183712,14329178,3336516,0,2729075,0,7572749,0,6772770,0,81229816,14873710,71327112,15721158,159056144
195.05136,0,0,0,0,0,0,0,0,,None,195.050811420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12878099
195.061805,9,10,4,0,1,0,0,0,CHO,Lignin,195.061256420091,0.0370504610224402,0,0,0,0,0,0,0,0,3536658,0,4209191,0,0,0,0,0,0
195.065215,0,0,0,0,0,0,0,0,,None,195.064666420091,0,0,0,0,0,0,0,0,0,6996243,0,8970280,0,0,0,0,0,0
195.06592,0,0,0,0,0,0,0,0,,None,195.065371420091,0,0,0,0,0,0,0,0,0,0,0,0,2399529,0,0,0,0,0
195.066269333333,0,0,0,0,0,0,0,0,,None,195.065720753424,0,0,9610438,22446308,17628512,3833674,7066466,6273913,7260316,82051344,33115476,109690920,32263466,4550657,3126385,0,5651147,17961242
195.10267,0,0,0,0,0,0,0,0,,None,195.102121420091,0,0,0,3014386,0,0,0,0,0,3854626,3401569,0,0,0,0,0,0,0
195.139054,0,0,0,0,0,0,0,0,,None,195.138505420091,0,0,3804898,2749697,3916154,0,0,0,0,3403568,0,2774599,0,0,0,0,0,0
196.001335,8,4,6,0,0,0,0,0,CHO,ConHC,196.000786420091,0.00735154944047543,1,0,0,0,0,0,0,0,3263112,0,0,0,0,0,0,0,2722961
196.033223333333,0,0,0,0,0,0,0,0,,None,196.032674753424,0,0,0,2445671,0,0,0,0,0,0,0,3149247,0,0,0,0,0,3414174
196.03662,0,0,0,0,0,0,0,0,,None,196.036071420091,0,0,0,0,0,0,0,0,0,0,0,2590656,0,0,0,0,0,0
196.03736,0,0,0,0,0,0,0,0,,None,196.036811420091,0,0,0,0,0,0,0,0,0,0,0,2684352,0,0,0,0,0,0
196.037726,9,8,5,0,0,0,0,0,CHO,Lignin,196.037177420091,-0.0206735813235856,1,0,0,0,0,0,0,0,28693142,10014410,31781312,8806057,3038057,0,0,0,0
196.0543831,0,0,0,0,0,0,0,0,,None,196.053834520091,0,0,0,11223663,0,0,0,0,0,0,0,0,0,5591407,0,5135023,0,9528998
196.05885,6,12,7,0,0,0,0,0,CHO,Other,196.058301420091,0.00673171932446002,1,0,0,0,0,0,0,0,7616159,0,9392585,0,0,0,0,0,0
196.061535,0,0,0,0,0,0,0,0,,None,196.060986420091,0,0,0,0,0,0,0,0,0,2509472,0,2689739,0,0,0,0,0,0
196.06964,0,0,0,0,0,0,0,0,,None,196.069091420091,0,0,0,2967669,0,0,0,0,0,8805027,2638551,12186062,3414710,0,0,0,0,0
196.074116666667,10,12,4,0,0,0,0,0,CHO,Lignin,196.073568086757,-0.0469882672980868,1,0,0,0,0,0,0,0,3688101,0,4938192,2887351,0,0,0,0,0
197.009158,0,0,0,0,0,0,0,0,,None,197.008609420091,0,0,0,5777395,0,0,0,0,0,8052767,0,5893982,0,4359893,0,0,0,14203947
197.012523333333,0,0,0,0,0,0,0,0,,None,197.011974753424,0,0,0,6502388,0,0,0,0,0,0,0,0,0,2750166,0,0,0,7597101
197.041075,8,8,5,0,1,0,0,0,CHO,Lignin,197.040526420091,0.00905909824850032,0,0,0,0,0,0,0,0,3761708,0,3370348,0,0,0,0,0,0
197.04289,0,0,0,0,0,0,0,0,,None,197.042341420091,0,0,0,4326400,0,0,0,0,0,0,0,0,0,0,0,0,0,3621945
197.044195,0,0,0,0,0,0,0,0,,None,197.043646420091,0,1,4014023,22266880,8525894,0,0,0,0,0,0,0,0,0,0,0,0,22004794
197.044455,0,0,0,0,0,0,0,0,,None,197.043906420091,0,0,0,0,0,0,0,0,0,4668462,0,6222701,0,0,0,0,0,0
197.045526475,0,0,0,0,0,0,0,0,,None,197.044977895091,0,1,83361736,401343488,164102208,8012126,5212810,7478422,8067532,55501868,26525780,75400048,23187516,20224738,7717438,11616217,21974344,388367424
