m/z	I	S/N	Res.	I %	
335.07723	10624875	45.5	373459	2.3	
335.08064	3000172	11.4	464590	0.7	
335.09841	8775536	37.2	392373	1.9	
335.11365	6328180	26.3	412666	1.4	
337.02016	2743579	10.3	465950	0.6	
337.05649	5196067	21.2	396728	1.1	
337.09291	13852971	59.9	371171	3.0	
337.11401	6136111	25.4	386856	1.3	
337.12925	3503411	13.6	422423	0.8	
337.20544	13291843	57.4	396558	2.9	
337.23592	2614090	9.7	349297	0.6	
338.09631	2987526	11.3	402307	0.7	
338.20879	2501150	9.2	447653	0.5	
339.07216	10003161	42.7	382937	2.2	
339.09329	9188061	39.1	387901	2.0	
339.10854	10482401	44.9	388833	2.3	
339.19994	16999156	74.0	380969	3.7	
339.25411	11436800	49.1	387910	2.5	
340.20331	3316683	12.8	438348	0.7	
341.06452	2636930	9.8	453862	0.6	
341.08784	12153990	52.3	380771	2.7	
341.10317	3863690	15.3	461676	0.8	
341.10452	8250506	34.9	428344	1.8	
341.10894	167634064	747.5	374707	36.7	
341.12425	4305038	17.2	398604	0.9	
342.11229	19883358	86.9	378166	4.4	
343.06703	3543588	13.7	422316	0.8	
343.08237	4494887	17.9	402868	1.0	
343.10347	11191852	47.7	390386	2.4	
343.11321	3826222	15.0	432869	0.8	
344.98883	6127535	25.2	400431	1.3	
345.06157	6383549	26.3	344498	1.4	
345.08274	5261250	21.3	375822	1.2	
345.09801	8110021	34.0	383724	1.8	
345.11910	3215305	12.3	436865	0.7	
345.22827	8482783	35.6	376062	1.9	
347.07725	15972691	68.9	372420	3.5	
347.09835	8737112	36.8	378577	1.9	
347.11367	6478171	26.7	378004	1.4	
348.08070	2875931	10.8	366504	0.6	
349.05655	4001500	15.7	381241	0.9	
349.09286	9935587	42.1	369825	2.2	
349.09481	6169315	25.4	356745	1.4	
349.11403	7955175	33.3	395240	1.7	
349.12928	2831082	10.6	421229	0.6	
351.03576	2506845	9.1	434807	0.5	
351.05455	2482273	9.0	420901	0.5	
351.07212	8780900	37.0	387584	1.9	
351.09322	4336745	17.2	376659	0.9	
351.10856	9260139	39.1	361484	2.0	
351.12972	3150960	12.0	413997	0.7	
351.20244	2692222	9.9	434755	0.6	
352.11202	2471213	9.0	328161	0.5	
353.05144	3424736	13.2	409451	0.7	
353.08779	12451303	53.2	376325	2.7	
353.10894	9289195	39.2	371964	2.0	
353.12417	5305838	21.5	413061	1.2	
353.20034	29789692	130.2	363150	6.5	
353.20150	3239421	12.4	805333	0.7	
354.20368	4853435	19.5	405103	1.1	
355.06701	3840862	14.9	330636	0.8	
355.08235	2629473	9.6	421826	0.6	
355.10346	12160868	51.5	374915	2.7	
355.12459	2995049	11.2	398601	0.7	
355.13982	2487147	8.9	379068	0.5	
355.24896	2732928	10.0	399672	0.6	
357.06154	2638034	9.6	425018	0.6	
357.08270	6244566	25.5	395680	1.4	
357.09797	5062873	20.3	385955	1.1	
357.10387	5007578	20.0	367499	1.1	
357.11908	8777949	36.6	361962	1.9	
357.26464	4968696	19.9	369553	1.1	
359.02160	6718012	27.6	393175	1.5	
359.07506	7430725	30.7	367630	1.6	
359.07726	6171206	25.2	377891	1.4	
359.09837	11960906	50.6	347453	2.6	
359.11368	4065868	15.9	365744	0.9	
