m/z	I	S/N	Res.	A %	
453.10390	2536623	7.4	221135	3.0	
453.11316	5460147	18.0	239735	8.0	
453.11911	10692789	37.0	269445	14.7	
453.13431	13555898	47.4	260505	19.9	
453.14015	7461053	25.3	259021	10.3	
453.14939	4423872	14.2	268692	5.3	
453.15543	16324802	57.5	272248	22.3	
453.17071	9599176	33.0	272925	12.4	
453.17653	4241610	13.6	292983	4.5	
453.19177	5619919	18.6	283411	6.6	
454.10576	4057628	12.9	324436	4.1	
454.12256	2868770	8.6	289588	2.6	
454.12692	3013156	9.1	323773	2.7	
454.13755	4061736	12.9	259014	5.2	
454.14207	3824170	12.1	301305	4.2	
454.15879	3526192	11.0	276888	4.0	
454.16325	3720753	11.7	286449	3.9	
454.17413	3271221	10.0	272737	3.5	
455.07714	3874687	12.2	274894	4.6	
455.08621	3540866	11.0	306468	3.6	
455.09239	4023172	12.8	268839	5.0	
455.09823	5434246	17.9	249505	8.1	
455.11099	5659531	18.7	237040	8.1	
455.11360	12110732	42.2	275574	16.1	
455.11973	2833294	8.5	276466	3.0	
455.12882	6271890	20.9	238512	9.4	
455.13472	14343059	50.3	269645	20.3	
455.14069	3046294	9.2	290865	3.5	
455.14997	13630361	47.7	275164	18.7	
455.15577	5262235	17.3	269126	6.5	
455.16515	3388319	10.5	262893	3.6	
455.17108	11856801	41.2	281572	15.8	
455.18638	6144935	20.5	268552	8.3	
455.20748	3170222	9.7	269725	3.5	
456.10021	3251444	10.0	277295	4.0	
456.11708	3089658	9.4	311095	3.3	
456.12141	4623612	15.0	298884	5.2	
456.13657	2635009	7.7	363587	2.6	
456.13829	3886338	12.3	334923	3.9	
456.14265	3124484	9.5	312328	2.8	
456.15328	4111623	13.1	272165	5.0	
456.15770	3647753	11.4	284765	4.1	
456.17453	3226895	9.9	347939	2.8	
457.09028	3265118	10.0	298765	3.2	
457.09288	5975647	19.9	287797	7.2	
457.10807	5240421	17.2	279113	6.6	
457.11394	6585959	22.1	273734	9.2	
457.12298	2757226	8.2	197546	3.9	
457.12674	4990571	16.3	235451	5.9	
457.12921	14618220	51.3	271750	20.2	
457.13513	5828206	19.3	274656	7.0	
457.14440	5903986	19.6	247093	9.0	
457.15037	13024884	45.5	277810	18.1	
457.16562	11689593	40.6	278336	15.4	
457.17125	2632315	7.7	283197	2.7	
457.18670	6547073	21.9	277022	8.3	
457.20218	3739271	11.7	305904	3.9	
458.10070	3525583	11.0	276292	3.8	
458.11578	2774997	8.2	360927	2.4	
458.13254	4174811	13.3	256983	5.8	
458.13701	4415453	14.2	301585	5.3	
458.15214	2899938	8.7	309586	2.5	
458.15386	3209187	9.8	325628	2.8	
458.16882	4190184	13.4	263850	5.2	
459.07212	3342643	10.3	317937	3.4	
459.08734	3426617	10.6	263749	4.2	
459.10852	10264896	35.5	247227	15.8	
459.12380	8190278	27.9	245010	11.2	
459.12973	10121544	34.9	278931	12.9	
