m/z	I	S/N	Res.	I %	
545.16645	8807042	28.1	231023	0.7	
545.18165	8630920	27.5	236226	0.7	
545.20288	4424336	13.2	226999	0.3	
545.27574	4115116	12.1	230289	0.3	
545.31187	5786298	17.8	241655	0.4	
545.34847	4209352	12.5	236294	0.3	
546.10149	2934762	8.1	235300	0.2	
546.13782	3233784	9.1	244222	0.2	
546.15333	4123646	12.2	260044	0.3	
546.17428	4185094	12.4	241946	0.3	
546.31980	2676798	7.3	287473	0.2	
546.39247	7803994	24.7	243425	0.6	
547.10943	3019629	8.4	175806	0.2	
547.12485	4302195	12.8	254329	0.3	
547.14563	5426555	16.6	258670	0.4	
547.16099	13743489	44.8	228291	1.0	
547.18205	8217993	26.1	236064	0.6	
547.19741	6223247	19.3	215992	0.5	
547.29117	10954162	35.3	228223	0.8	
547.32760	3759553	10.9	223998	0.3	
548.13225	4286196	12.7	216245	0.3	
548.15369	3057404	8.5	181850	0.2	
548.16421	4323072	12.8	207928	0.3	
548.16891	5644034	17.3	232032	0.4	
548.18553	2838280	7.8	187630	0.2	
548.29436	3130162	8.8	248344	0.2	
548.29929	3031860	8.5	229045	0.2	
549.10400	3115110	8.7	245377	0.2	
549.12504	3523694	10.1	217450	0.3	
549.14024	10807412	34.8	225072	0.8	
549.16150	5798012	17.8	222464	0.4	
549.17662	21600386	71.5	222143	1.6	
549.19783	5406858	16.5	249568	0.4	
549.21314	3454095	9.9	239395	0.3	
549.27079	2965669	8.2	227174	0.2	
549.30708	3918003	11.5	237738	0.3	
550.09641	2685407	7.3	236958	0.2	
550.11165	4600292	13.8	233168	0.3	
550.13286	3460588	9.9	183059	0.3	
550.14354	3226096	9.1	177703	0.2	
550.14814	7438834	23.4	224050	0.6	
550.16913	3210746	9.1	213419	0.2	
550.17985	7365118	23.2	226537	0.6	
550.18464	5024256	15.2	212417	0.4	
551.08300	5167955	15.7	232588	0.4	
551.11937	5862241	18.1	232890	0.4	
551.14053	2815849	7.7	207157	0.2	
551.15589	23903086	79.3	223747	1.8	
551.17708	4811639	14.5	234355	0.4	
551.19227	23452540	77.7	221197	1.8	
551.21346	11012996	35.5	224337	0.8	
552.08698	2582221	6.9	220865	0.2	
552.09092	3185871	9.0	250532	0.2	
552.12250	2656475	7.2	218653	0.2	
552.12741	8596700	27.3	210884	0.7	
552.15911	7605481	24.0	216796	0.6	
552.16373	10480874	33.7	216819	0.8	
552.18500	4306162	12.8	236610	0.3	
552.19556	7410934	23.3	205386	0.6	
552.20014	4994296	15.1	194182	0.4	
