m/z	I	S/N	Res.	I %	
501.14030	7303719	22.5	271873	5.5	
501.14713	3074601	8.5	248343	2.3	
501.15040	3118635	8.6	189106	2.3	
501.15552	12640813	40.3	258446	9.5	
501.16157	3723823	10.6	237226	2.8	
501.17080	5937715	18.0	243625	4.5	
501.17667	9564725	30.0	264546	7.2	
501.19180	9912891	31.2	247547	7.4	
501.20711	3846722	11.0	286553	2.9	
501.21289	3670596	10.4	241941	2.8	
502.14203	2876352	7.8	303968	2.2	
502.15907	3035079	8.3	295703	2.3	
502.16323	3142601	8.7	289406	2.4	
502.18004	3062736	8.4	315971	2.3	
502.19568	3007446	8.2	276396	2.3	
503.09828	3132743	8.6	163021	2.4	
503.11371	4259149	12.4	219320	3.2	
503.11987	3642703	10.3	317520	2.7	
503.12855	3203411	8.9	178172	2.4	
503.13478	10110293	31.8	241035	7.6	
503.14122	2567512	6.8	232205	1.9	
503.15005	7566684	23.4	258853	5.7	
503.15370	7599453	23.5	251609	5.7	
503.15606	9557342	30.0	233854	7.2	
503.16174	28460384	92.9	219949	21.4	
503.17111	13526372	43.2	239831	10.2	
503.17772	3373415	9.4	280751	2.5	
503.18644	5711211	17.2	243826	4.3	
503.19228	6331757	19.3	268448	4.8	
503.20746	7058803	21.7	270516	5.3	
504.15351	2733813	7.3	271408	2.1	
504.16312	3757817	10.7	313946	2.8	
504.16535	4540154	13.3	265677	3.4	
504.17451	4257534	12.4	256975	3.2	
504.17887	2952959	8.0	291008	2.2	
504.21094	2793228	7.5	337637	2.1	
505.11405	4931708	14.6	265434	3.7	
505.12457	2858112	7.7	242493	2.1	
505.12946	6566019	20.1	258572	4.9	
505.13526	5363845	16.1	252900	4.0	
505.14451	3571337	10.1	205562	2.7	
505.15044	14657675	47.0	261091	11.0	
505.15684	4436110	13.0	240389	3.3	
505.16562	9070737	28.4	249344	6.8	
505.17156	9627795	30.2	248253	7.2	
505.17841	2883734	7.8	322989	2.2	
505.18680	12527770	39.9	267520	9.4	
505.20207	5376160	16.1	279096	4.0	
505.20791	4614306	13.6	249833	3.5	
505.22298	3334313	9.3	269610	2.5	
506.13695	3594780	10.2	277899	2.7	
506.15407	3641891	10.3	294859	2.7	
506.15812	3516965	9.9	274115	2.6	
506.16923	3728937	10.6	257243	2.8	
506.19007	3086898	8.5	306122	2.3	
507.10824	3725223	10.6	215827	2.8	
507.12381	3213229	8.9	187549	2.4	
507.12997	7314352	22.5	195431	5.5	
507.13313	6917041	21.2	250103	5.2	
507.13639	2919346	7.9	302031	2.2	
507.14190	3007412	8.2	300716	2.3	
507.14493	9612214	30.2	248663	7.2	
507.15080	7408568	22.9	257609	5.6	
507.16033	4359100	12.7	221088	3.3	
507.16600	15543230	49.9	249896	11.7	
507.17289	2642881	7.0	261247	2.0	
507.18129	8829892	27.6	258105	6.6	
507.18719	6065095	18.4	259003	4.6	
507.19643	2764747	7.4	277738	2.1	
507.20235	10042317	31.6	253580	7.5	
507.21764	3675091	10.4	297064	2.8	
508.15242	3067214	8.4	342851	2.3	
508.16741	2825556	7.6	412374	2.1	
508.16956	4289877	12.5	330441	3.2	
508.18465	3346779	9.3	234178	2.5	
508.20585	2581860	6.8	324435	1.9	
509.09655	3235533	9.0	224538	2.4	
509.10919	2584274	6.8	238053	1.9	
509.12120	4032215	11.6	251915	3.0	
509.12428	7026392	21.6	247169	5.3	
509.13012	4816603	14.2	248676	3.6	
509.13964	5156574	15.4	249950	3.9	
509.14537	10829536	34.2	247993	8.1	
509.15169	3319523	9.3	211392	2.5	
509.15561	2942693	8.0	336311	2.2	
509.16056	10268391	32.4	251059	7.7	
509.16650	7098089	21.8	234013	5.3	
509.17589	4476653	13.1	239781	3.4	
509.18168	13053679	41.6	254365	9.8	
509.19692	6622966	20.2	229640	5.0	
509.20293	3663608	10.4	278987	2.8	
509.21810	5455614	16.4	279642	4.1	
510.13203	2990192	8.2	324818	2.2	
510.14687	2685046	7.1	372979	2.0	
510.16402	3473533	9.8	302213	2.6	
510.16829	3569790	10.1	320954	2.7	
510.17042	2814079	7.6	343290	2.1	
510.17937	2609283	6.9	257915	2.0	
510.18315	2994308	8.2	347612	2.2	
510.18534	3606661	10.2	302724	2.7	
511.10089	3528183	9.9	198023	2.6	
511.11010	3398139	9.5	286461	2.6	
511.11247	4059643	11.7	249171	3.0	
511.11860	4435454	13.0	221491	3.3	
511.12469	4557313	13.4	248899	3.4	
511.13508	3217925	8.9	235150	2.4	
511.13992	8368647	26.0	261431	6.3	
511.14521	4891145	14.5	294574	3.7	
511.14762	7569930	23.4	290073	5.7	
511.15520	6355469	19.3	249389	4.8	
511.16101	12558863	40.0	250675	9.4	
511.16751	2780690	7.5	258298	2.1	
511.16981	2787859	7.5	263583	2.1	
511.17629	10031637	31.6	262845	7.5	
511.18213	5429784	16.3	249585	4.1	
511.19160	3781147	10.8	257799	2.8	
511.19731	8856094	27.7	214521	6.6	
511.21241	6652452	20.3	265936	5.0	
512.14338	3181467	8.8	251174	2.4	
512.14735	3149725	8.7	287265	2.4	
512.16255	3150755	8.7	322350	2.4	
512.16878	3171237	8.8	287462	2.4	
512.17962	2812842	7.6	311152	2.1	
512.19880	2644914	7.0	394927	2.0	
512.20102	2882482	7.8	330821	2.2	
513.11916	5870884	17.3	225030	4.4	
513.13442	6153514	18.2	229921	4.6	
513.14022	8553772	26.0	265058	6.4	
513.14703	3137839	8.4	260927	2.4	
513.15063	2604337	6.7	382817	2.0	
513.15561	12195122	37.9	266314	9.2	
513.16147	5264693	15.4	251797	4.0	
513.17084	6743353	20.2	261961	5.1	
513.17654	13980987	43.7	259961	10.5	
513.19184	10261825	31.6	263665	7.7	
513.20719	3030343	8.1	301280	2.3	
513.21306	5156170	15.0	247767	3.9	
513.22808	2569552	6.6	253010	1.9	
514.15913	3366598	9.2	272314	2.5	
514.16325	3022535	8.1	311973	2.3	
