m/z	I	S/N	Res.	A %	I %	
371.04083	8834480	35.2	360339	1.3	1.5	
371.04423	2593713	9.0	337604	0.3	0.4	
371.06196	6751669	26.5	362489	1.0	1.1	
371.07722	6735288	26.4	346765	1.1	1.1	
371.08060	6911417	27.1	320311	1.1	1.2	
371.09834	12058044	48.8	337385	2.0	2.0	
371.11364	9194943	36.7	338269	1.5	1.5	
371.11950	2468288	8.4	378038	0.3	0.4	
371.13473	2873795	10.1	350059	0.4	0.5	
371.14995	3046854	10.9	371987	0.4	0.5	
371.24392	5559769	21.4	380607	0.8	0.9	
372.00786	4947570	18.9	393334	0.6	0.8	
372.10169	3115652	11.2	391422	0.4	0.5	
372.98375	16015156	65.4	348736	2.6	2.7	
373.02012	11734844	47.4	347549	1.9	2.0	
373.03721	5777215	22.4	354700	0.9	1.0	
373.05646	10100547	40.5	333023	1.7	1.7	
373.05984	4551492	17.2	353718	0.6	0.8	
373.07760	4855623	18.5	350788	0.7	0.8	
373.09289	16510794	67.5	347112	2.7	2.8	
373.11404	4259662	16.0	350392	0.6	0.7	
373.12930	6295378	24.5	358229	1.0	1.1	
373.22315	4681572	17.7	359269	0.7	0.8	
373.25957	22228844	91.5	346476	3.8	3.7	
373.98722	2920445	10.3	390604	0.3	0.5	
374.09627	3891218	14.4	366921	0.5	0.7	
374.26293	5204020	19.9	317229	0.8	0.9	
375.03576	12095694	48.9	354450	2.0	2.0	
375.05687	2853586	10.1	312194	0.4	0.5	
375.07217	23179476	95.5	344124	4.0	3.9	
375.07558	3570902	13.1	330444	0.6	0.6	
375.09330	5740761	22.2	353354	0.8	1.0	
375.10854	17821916	73.0	343305	3.0	3.0	
375.14508	3149028	11.3	375471	0.4	0.5	
375.18468	6869228	26.9	353566	1.0	1.2	
376.07547	5710237	22.1	345682	0.9	1.0	
376.11186	4743589	18.0	335013	0.7	0.8	
377.01505	5995097	23.3	372185	0.8	1.0	
377.05143	61854304	258.2	335743	10.8	10.4	
377.08781	95654504	400.3	334587	16.5	16.1	
377.10896	2949740	10.5	386704	0.4	0.5	
377.12422	13898350	56.5	343010	2.4	2.3	
377.16062	2891382	10.2	378290	0.4	0.5	
377.20028	4178558	15.6	378885	0.5	0.7	
378.05478	12104488	49.0	352127	1.9	2.0	
378.09118	18961200	77.8	342199	3.3	3.2	
378.12753	2820919	9.9	319250	0.4	0.5	
379.03069	26211308	108.3	337821	4.6	4.4	
379.05511	6886385	27.0	360232	1.1	1.2	
379.06461	3236851	11.7	251313	0.6	0.5	
379.06706	32658418	135.4	333763	5.9	5.5	
379.08819	4205559	15.7	350373	0.6	0.7	
379.09231	2468856	8.4	393447	0.3	0.4	
379.10345	49992700	208.3	335229	9.1	8.4	
379.13990	7101442	27.9	343960	1.1	1.2	
379.21598	7666705	30.3	342055	1.2	1.3	
379.23379	4500501	17.0	346264	0.7	0.8	
380.03398	3916981	14.5	395990	0.5	0.7	
380.07042	5696700	22.0	325573	0.9	1.0	
380.10678	9721027	38.9	354221	1.6	1.6	
381.04632	14448000	58.1	331717	2.6	2.4	
381.08274	26580360	108.6	337851	4.9	4.5	
381.10388	7742860	30.3	350331	1.2	1.3	
381.11912	21304718	86.6	339938	3.8	3.6	
381.23165	19207590	77.9	337506	3.4	3.2	
382.08615	5049937	19.1	349885	0.8	0.8	
382.12250	3606105	13.1	382160	0.4	0.6	
382.23496	4460143	16.6	342955	0.7	0.7	
383.04096	3151634	11.2	375524	0.4	0.5	
383.06199	23181078	94.4	335135	4.2	3.9	
383.07721	5065497	19.1	319234	0.8	0.9	
383.08065	16164634	65.3	328444	3.0	2.7	
383.09838	14612253	58.8	336205	2.5	2.5	
383.11368	5500705	20.9	356704	0.8	0.9	
383.11955	7495458	29.2	338627	1.2	1.3	
383.13476	8083237	31.7	346419	1.3	1.4	
384.06539	4264929	15.8	345158	0.6	0.7	
384.10170	2855912	9.9	327011	0.4	0.5	
385.02013	7043235	27.3	336987	1.1	1.2	
385.05652	6084778	23.4	330152	1.0	1.0	
385.05990	10479786	41.6	341238	1.8	1.8	
385.07766	7790766	30.5	342025	1.3	1.3	
385.09289	9754801	38.6	333908	1.7	1.6	
385.11403	8661173	34.1	343148	1.4	1.5	
385.12932	7882937	30.8	322089	1.4	1.3	
385.22317	13654220	54.8	338848	2.4	2.3	
386.22648	3179928	11.3	309467	0.5	0.5	
387.03578	11741757	46.9	335957	2.0	2.0	
387.05692	9505345	37.6	336748	1.6	1.6	
387.06027	2777666	9.6	340708	0.4	0.5	
387.07216	8686148	34.2	326122	1.6	1.5	
387.07550	4028997	14.8	354550	0.6	0.7	
387.09324	4633161	17.3	349404	0.7	0.8	
387.10855	9288268	36.7	344588	1.6	1.6	
387.12967	4790864	18.0	360123	0.7	0.8	
387.14495	6251092	24.1	343587	1.0	1.0	
389.01510	2873299	10.0	369591	0.4	0.5	
389.05141	13122523	52.6	334066	2.3	2.2	
